Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Check_login_with_wrong_Username_and_correct_Password,Chrome 85.0.4183.121,Kiểm tra đăng nhập với sai tên tài khoản và đúng mật khẩu,,2020-09-30 17:44:21,2020-09-30 17:44:37,15.740s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 17:44:22,2020-09-30 17:44:25,3.639s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 17:44:25,2020-09-30 17:44:29,3.533s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:29,2020-09-30 17:44:29,0.633s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:29,2020-09-30 17:44:31,1.341s,PASSED
"setText(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 17:44:31,2020-09-30 17:44:32,0.889s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/input_Password_password""), ""PZQwh3QeQDDcirbK8Iu+E413IX9ElTWk"")",Chrome 85.0.4183.121,,,2020-09-30 17:44:32,2020-09-30 17:44:32,0.707s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:32,2020-09-30 17:44:34,1.361s,PASSED
"waitForElementPresent(findTestObject(""Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 17:44:34,2020-09-30 17:44:34,0.498s,PASSED
"verifyElementText(findTestObject(""Object Repository/Wrong_Username_And_Correct_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 17:44:34,2020-09-30 17:44:35,0.408s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 17:44:35,2020-09-30 17:44:37,2.170s,PASSED
,,,,,,,
Test Cases/Check_login_with_correct_Username_and_wrong_Password,Chrome 85.0.4183.121,Kiểm tra đăng nhập với đúng tên tài khoản và sai mật khẩu,,2020-09-30 17:44:37,2020-09-30 17:44:51,14.574s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 17:44:37,2020-09-30 17:44:41,3.457s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 17:44:41,2020-09-30 17:44:45,3.747s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:45,2020-09-30 17:44:45,0.460s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:45,2020-09-30 17:44:46,1.344s,PASSED
"setText(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 17:44:46,2020-09-30 17:44:47,0.888s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/input_Password_password""), ""ib8hrRQklRUkn3gfaSQjLg=="")",Chrome 85.0.4183.121,,,2020-09-30 17:44:47,2020-09-30 17:44:48,0.630s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:48,2020-09-30 17:44:49,1.362s,PASSED
"waitForElementPresent(findTestObject(""Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 17:44:49,2020-09-30 17:44:50,0.534s,PASSED
"verifyElementText(findTestObject(""Object Repository/Correct_Username_And_Wrong_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 17:44:50,2020-09-30 17:44:50,0.371s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 17:44:50,2020-09-30 17:44:51,1.243s,PASSED
,,,,,,,
Test Cases/Check_login_with_correct_Username_and_Password,Chrome 85.0.4183.121,Kiểm tra đăng nhập với tên tài khoản và mật khẩu đều đúng,,2020-09-30 17:44:51,2020-09-30 17:45:05,13.422s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 17:44:52,2020-09-30 17:44:56,3.517s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 17:44:56,2020-09-30 17:44:59,3.822s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:59,2020-09-30 17:45:01,1.132s,PASSED
"setText(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 17:45:01,2020-09-30 17:45:01,0.816s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 85.0.4183.121,,,2020-09-30 17:45:01,2020-09-30 17:45:02,0.652s,PASSED
"click(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:45:02,2020-09-30 17:45:03,1.254s,PASSED
"waitForElementPresent(findTestObject(""Correct_Username_And_Password/Page_CURA Healthcare Service/h2_Make Appointment""), 30)",Chrome 85.0.4183.121,,,2020-09-30 17:45:03,2020-09-30 17:45:04,0.428s,PASSED
"verifyElementText(findTestObject(""Object Repository/Correct_Username_And_Password/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 85.0.4183.121,,,2020-09-30 17:45:04,2020-09-30 17:45:04,0.377s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 17:45:04,2020-09-30 17:45:05,0.813s,PASSED
,,,,,,,
Test Cases/Check_login_with_all_empty_fields,Chrome 85.0.4183.121,Kiểm tra đăng nhập với tên tài khoản và mật khẩu để trống,,2020-09-30 17:45:05,2020-09-30 17:45:18,13.096s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 17:45:05,2020-09-30 17:45:09,3.444s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 17:45:09,2020-09-30 17:45:12,3.550s,PASSED
"click(findTestObject(""Object Repository/All_Empty_Fields/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-30 17:45:12,2020-09-30 17:45:13,0.472s,PASSED
"click(findTestObject(""Object Repository/All_Empty_Fields/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:45:13,2020-09-30 17:45:14,1.768s,PASSED
"click(findTestObject(""Object Repository/All_Empty_Fields/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:45:14,2020-09-30 17:45:16,1.329s,PASSED
"waitForElementPresent(findTestObject(""All_Empty_Fields/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 17:45:16,2020-09-30 17:45:16,0.519s,PASSED
"verifyElementText(findTestObject(""Object Repository/All_Empty_Fields/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 17:45:16,2020-09-30 17:45:17,0.383s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 17:45:17,2020-09-30 17:45:18,1.232s,PASSED
